TL,TM,TR,ML,MM,MR,BL,BM,BR,class
b,o,o,x,b,b,x,b,b,O
b,o,o,x,b,b,x,x,b,O
o,o,o,x,b,b,x,x,b,O
b,b,b,b,x,b,b,b,b,D
b,b,b,b,x,b,o,b,b,D
b,b,b,b,x,b,o,x,b,D
o,b,b,b,x,b,o,x,b,D
o,b,b,b,x,b,o,x,x,D
o,b,b,b,x,o,o,x,x,D
o,b,b,x,x,o,o,x,x,D
o,o,b,x,x,o,o,x,x,D
o,o,x,x,x,o,o,x,x,D
b,x,b,b,b,b,b,b,b,O
b,x,b,b,b,o,b,b,b,O
b,x,x,b,b,o,b,b,b,O
b,x,x,b,b,o,b,o,b,O
b,x,x,b,b,o,b,o,x,O
b,x,x,o,b,o,b,o,x,O
b,x,x,o,b,o,x,o,x,O
b,x,x,o,o,o,x,o,x,O
b,b,b,b,b,x,b,b,b,O
b,b,b,b,b,x,b,b,o,O
b,b,b,b,b,x,b,x,o,O
b,b,b,b,o,x,b,x,o,O
b,b,b,x,o,x,b,x,o,O
o,b,b,x,o,x,b,x,o,O
b,b,b,b,x,b,b,b,b,O
b,b,b,b,x,b,b,o,b,O
x,b,b,b,x,b,b,o,b,O
x,o,b,b,x,b,b,o,b,O
x,o,b,b,x,x,b,o,b,O
x,o,b,b,x,x,b,o,o,O
x,o,x,b,x,x,b,o,o,O
x,o,x,b,x,x,o,o,o,O
b,b,b,x,b,b,b,b,b,O
o,b,b,x,b,b,b,b,b,O
o,x,b,x,b,b,b,b,b,O
o,x,b,x,o,b,b,b,b,O
o,x,b,x,o,b,x,b,b,O
o,x,b,x,o,b,x,b,o,O
b,b,b,b,b,b,b,b,x,O
b,b,o,b,b,b,b,b,x,O
x,b,o,b,b,b,b,b,x,O
x,b,o,b,o,b,b,b,x,O
x,b,o,x,o,b,b,b,x,O
x,b,o,x,o,b,o,b,x,O
x,b,b,b,b,b,b,b,b,X
x,b,b,b,b,o,b,b,b,X
x,x,b,b,b,o,b,b,b,X
x,x,b,b,b,o,o,b,b,X
x,x,b,b,x,o,o,b,b,X
x,x,o,b,x,o,o,b,b,X
x,x,o,b,x,o,o,b,x,X
b,b,b,b,b,b,b,b,x,O
b,b,b,b,b,o,b,b,x,O
b,b,b,b,b,o,b,x,x,O
b,b,b,o,b,o,b,x,x,O
x,b,b,o,b,o,b,x,x,O
x,o,b,o,b,o,b,x,x,O
x,o,x,o,b,o,b,x,x,O
x,o,x,o,o,o,b,x,x,O
b,b,b,b,b,b,b,b,x,X
b,b,o,b,b,b,b,b,x,X
b,b,o,b,x,b,b,b,x,X
b,b,o,b,x,b,b,o,x,X
b,b,o,b,x,b,x,o,x,X
b,b,o,o,x,b,x,o,x,X
x,b,o,o,x,b,x,o,x,X
b,b,b,b,x,b,b,b,b,X
b,b,o,b,x,b,b,b,b,X
b,b,o,b,x,b,x,b,b,X
b,b,o,b,x,b,x,o,b,X
b,x,o,b,x,b,x,o,b,X
b,x,o,b,x,o,x,o,b,X
b,x,o,b,x,o,x,o,x,X
b,x,o,o,x,o,x,o,x,X
x,x,o,o,x,o,x,o,x,X
b,b,b,x,b,b,b,b,b,X
o,b,b,x,b,b,b,b,b,X
o,b,b,x,x,b,b,b,b,X
o,b,b,x,x,b,b,b,o,X
o,b,x,x,x,b,b,b,o,X
o,b,x,x,x,o,b,b,o,X
o,x,x,x,x,o,b,b,o,X
o,x,x,x,x,o,b,o,o,X
o,x,x,x,x,o,x,o,o,X
b,b,b,b,x,b,b,b,b,X
b,b,b,b,x,b,b,o,b,X
x,b,b,b,x,b,b,o,b,X
x,o,b,b,x,b,b,o,b,X
x,o,b,b,x,b,x,o,b,X
x,o,o,b,x,b,x,o,b,X
x,o,o,x,x,b,x,o,b,X
b,b,b,b,b,b,b,b,x,O
b,b,b,o,b,b,b,b,x,O
b,b,b,o,x,b,b,b,x,O
o,b,b,o,x,b,b,b,x,O
o,b,b,o,x,x,b,b,x,O
o,o,b,o,x,x,b,b,x,O
o,o,b,o,x,x,x,b,x,O
o,o,o,o,x,x,x,b,x,O
b,b,b,b,b,b,b,b,x,X
b,b,b,b,b,b,b,o,x,X
x,b,b,b,b,b,b,o,x,X
x,b,o,b,b,b,b,o,x,X
x,x,o,b,b,b,b,o,x,X
x,x,o,b,b,o,b,o,x,X
x,x,o,b,x,o,b,o,x,X
b,b,b,b,b,b,b,x,b,X
b,o,b,b,b,b,b,x,b,X
b,o,b,b,b,x,b,x,b,X
b,o,b,b,b,x,b,x,o,X
b,o,b,b,x,x,b,x,o,X
o,o,b,b,x,x,b,x,o,X
o,o,b,b,x,x,x,x,o,X
o,o,b,o,x,x,x,x,o,X
o,o,x,o,x,x,x,x,o,X
b,b,b,b,b,b,x,b,b,D
b,b,b,b,o,b,x,b,b,D
b,x,b,b,o,b,x,b,b,D
b,x,b,b,o,b,x,o,b,D
b,x,b,b,o,b,x,o,x,D
b,x,o,b,o,b,x,o,x,D
b,x,o,b,o,x,x,o,x,D
o,x,o,b,o,x,x,o,x,D
o,x,o,x,o,x,x,o,x,D
b,b,b,b,x,b,b,b,b,O
b,b,b,b,x,b,b,b,o,O
b,b,b,b,x,b,b,x,o,O
b,b,b,b,x,o,b,x,o,O
x,b,b,b,x,o,b,x,o,O
x,o,b,b,x,o,b,x,o,O
x,o,b,b,x,o,x,x,o,O
x,o,o,b,x,o,x,x,o,O
x,b,b,b,b,b,b,b,b,X
x,b,b,b,b,o,b,b,b,X
x,b,b,b,x,o,b,b,b,X
x,b,o,b,x,o,b,b,b,X
x,b,o,x,x,o,b,b,b,X
x,b,o,x,x,o,o,b,b,X
x,b,o,x,x,o,o,b,x,X
b,x,b,b,b,b,b,b,b,O
b,x,b,b,o,b,b,b,b,O
b,x,b,b,o,b,b,b,x,O
b,x,b,b,o,b,b,o,x,O
b,x,b,x,o,b,b,o,x,O
b,x,o,x,o,b,b,o,x,O
x,x,o,x,o,b,b,o,x,O
x,x,o,x,o,b,o,o,x,O
b,b,b,b,b,b,b,b,x,X
b,b,b,b,b,b,o,b,x,X
b,x,b,b,b,b,o,b,x,X
b,x,o,b,b,b,o,b,x,X
b,x,o,b,b,b,o,x,x,X
o,x,o,b,b,b,o,x,x,X
o,x,o,b,x,b,o,x,x,X
b,b,b,b,b,b,x,b,b,O
b,b,b,o,b,b,x,b,b,O
b,b,b,o,b,b,x,x,b,O
b,b,b,o,b,o,x,x,b,O
b,x,b,o,b,o,x,x,b,O
b,x,b,o,b,o,x,x,o,O
x,x,b,o,b,o,x,x,o,O
x,x,b,o,o,o,x,x,o,O
b,b,b,b,b,b,b,x,b,X
b,b,b,b,o,b,b,x,b,X
b,x,b,b,o,b,b,x,b,X
b,x,b,b,o,b,b,x,o,X
b,x,x,b,o,b,b,x,o,X
b,x,x,b,o,o,b,x,o,X
b,x,x,x,o,o,b,x,o,X
b,x,x,x,o,o,o,x,o,X
x,x,x,x,o,o,o,x,o,X
b,b,b,b,b,b,b,x,b,O
b,b,b,b,b,b,b,x,o,O
b,b,x,b,b,b,b,x,o,O
b,b,x,b,o,b,b,x,o,O
b,x,x,b,o,b,b,x,o,O
o,x,x,b,o,b,b,x,o,O
b,b,b,b,b,b,x,b,b,X
b,o,b,b,b,b,x,b,b,X
b,o,b,x,b,b,x,b,b,X
b,o,b,x,b,b,x,b,o,X
b,o,b,x,b,x,x,b,o,X
b,o,b,x,o,x,x,b,o,X
x,o,b,x,o,x,x,b,o,X
b,b,b,b,b,b,b,b,x,X
b,b,b,b,o,b,b,b,x,X
b,x,b,b,o,b,b,b,x,X
b,x,b,b,o,b,o,b,x,X
x,x,b,b,o,b,o,b,x,X
x,x,b,o,o,b,o,b,x,X
x,x,b,o,o,x,o,b,x,X
x,x,b,o,o,x,o,o,x,X
x,x,x,o,o,x,o,o,x,X
b,b,b,b,b,b,b,b,x,O
b,b,b,b,o,b,b,b,x,O
x,b,b,b,o,b,b,b,x,O
x,b,b,b,o,o,b,b,x,O
x,b,b,x,o,o,b,b,x,O
x,b,o,x,o,o,b,b,x,O
x,x,o,x,o,o,b,b,x,O
x,x,o,x,o,o,o,b,x,O
b,b,b,b,b,x,b,b,b,X
b,o,b,b,b,x,b,b,b,X
b,o,b,b,b,x,b,b,x,X
b,o,b,o,b,x,b,b,x,X
x,o,b,o,b,x,b,b,x,X
x,o,b,o,o,x,b,b,x,X
x,o,b,o,o,x,x,b,x,X
x,o,o,o,o,x,x,b,x,X
x,o,o,o,o,x,x,x,x,X
b,b,b,b,b,x,b,b,b,O
b,o,b,b,b,x,b,b,b,O
b,o,x,b,b,x,b,b,b,O
b,o,x,b,b,x,o,b,b,O
x,o,x,b,b,x,o,b,b,O
x,o,x,b,b,x,o,b,o,O
x,o,x,b,x,x,o,b,o,O
x,o,x,b,x,x,o,o,o,O
b,x,b,b,b,b,b,b,b,X
b,x,b,b,o,b,b,b,b,X
b,x,b,x,o,b,b,b,b,X
b,x,b,x,o,b,b,o,b,X
b,x,b,x,o,x,b,o,b,X
b,x,b,x,o,x,b,o,o,X
x,x,b,x,o,x,b,o,o,X
x,x,o,x,o,x,b,o,o,X
x,x,o,x,o,x,x,o,o,X
b,b,b,b,b,b,x,b,b,D
b,b,o,b,b,b,x,b,b,D
b,b,o,b,x,b,x,b,b,D
o,b,o,b,x,b,x,b,b,D
o,x,o,b,x,b,x,b,b,D
o,x,o,b,x,b,x,o,b,D
o,x,o,b,x,x,x,o,b,D
o,x,o,o,x,x,x,o,b,D
o,x,o,o,x,x,x,o,x,D
b,b,b,b,b,b,x,b,b,O
b,b,o,b,b,b,x,b,b,O
b,b,o,b,b,b,x,x,b,O
b,b,o,b,b,o,x,x,b,O
x,b,o,b,b,o,x,x,b,O
x,b,o,o,b,o,x,x,b,O
x,x,o,o,b,o,x,x,b,O
x,x,o,o,o,o,x,x,b,O
b,b,x,b,b,b,b,b,b,X
b,b,x,o,b,b,b,b,b,X
b,b,x,o,b,b,b,b,x,X
o,b,x,o,b,b,b,b,x,X
o,b,x,o,b,x,b,b,x,X
b,b,b,b,x,b,b,b,b,O
b,b,b,b,x,b,b,b,o,O
b,x,b,b,x,b,b,b,o,O
b,x,b,b,x,b,o,b,o,O
b,x,x,b,x,b,o,b,o,O
b,x,x,o,x,b,o,b,o,O
b,x,x,o,x,x,o,b,o,O
o,x,x,o,x,x,o,b,o,O
b,b,b,b,b,x,b,b,b,X
b,b,b,b,b,x,b,o,b,X
b,b,b,b,x,x,b,o,b,X
b,b,b,b,x,x,o,o,b,X
b,b,b,b,x,x,o,o,x,X
b,b,b,o,x,x,o,o,x,X
x,b,b,o,x,x,o,o,x,X
b,b,b,x,b,b,b,b,b,O
b,b,b,x,b,b,b,b,o,O
x,b,b,x,b,b,b,b,o,O
x,b,o,x,b,b,b,b,o,O
x,b,o,x,b,b,b,x,o,O
x,b,o,x,o,b,b,x,o,O
x,b,o,x,o,x,b,x,o,O
x,b,o,x,o,x,o,x,o,O
b,b,b,x,b,b,b,b,b,D
b,b,b,x,b,b,b,b,o,D
b,b,b,x,b,b,b,x,o,D
b,b,b,x,o,b,b,x,o,D
b,b,b,x,o,x,b,x,o,D
b,o,b,x,o,x,b,x,o,D
b,o,x,x,o,x,b,x,o,D
b,o,x,x,o,x,o,x,o,D
x,o,x,x,o,x,o,x,o,D
b,b,b,b,b,x,b,b,b,D
b,b,b,b,b,x,b,b,o,D
b,x,b,b,b,x,b,b,o,D
b,x,b,b,o,x,b,b,o,D
b,x,b,b,o,x,b,x,o,D
b,x,o,b,o,x,b,x,o,D
b,x,o,b,o,x,x,x,o,D
b,x,o,o,o,x,x,x,o,D
x,x,o,o,o,x,x,x,o,D
x,b,b,b,b,b,b,b,b,O
x,b,b,b,b,b,b,o,b,O
x,b,b,x,b,b,b,o,b,O
x,b,b,x,b,b,b,o,o,O
x,b,x,x,b,b,b,o,o,O
x,b,x,x,b,b,o,o,o,O
b,b,b,b,b,x,b,b,b,X
b,b,b,b,b,x,o,b,b,X
b,b,b,b,b,x,o,b,x,X
b,b,o,b,b,x,o,b,x,X
b,b,o,b,x,x,o,b,x,X
b,b,o,b,x,x,o,o,x,X
b,x,o,b,x,x,o,o,x,X
b,x,o,o,x,x,o,o,x,X
x,x,o,o,x,x,o,o,x,X
b,b,b,b,b,b,x,b,b,D
b,b,b,b,o,b,x,b,b,D
x,b,b,b,o,b,x,b,b,D
x,b,b,b,o,b,x,b,o,D
x,x,b,b,o,b,x,b,o,D
x,x,o,b,o,b,x,b,o,D
x,x,o,b,o,x,x,b,o,D
x,x,o,o,o,x,x,b,o,D
x,x,o,o,o,x,x,x,o,D
b,b,b,b,b,b,b,x,b,D
b,b,b,b,b,b,o,x,b,D
b,b,b,b,x,b,o,x,b,D
b,o,b,b,x,b,o,x,b,D
b,o,b,x,x,b,o,x,b,D
b,o,b,x,x,b,o,x,o,D
b,o,x,x,x,b,o,x,o,D
b,o,x,x,x,o,o,x,o,D
x,o,x,x,x,o,o,x,o,D
x,b,b,b,b,b,b,b,b,D
x,o,b,b,b,b,b,b,b,D
x,o,b,x,b,b,b,b,b,D
x,o,b,x,b,b,o,b,b,D
x,o,b,x,b,b,o,x,b,D
x,o,b,x,b,o,o,x,b,D
x,o,x,x,b,o,o,x,b,D
x,o,x,x,o,o,o,x,b,D
x,o,x,x,o,o,o,x,x,D
x,b,b,b,b,b,b,b,b,X
x,b,b,o,b,b,b,b,b,X
x,b,b,o,x,b,b,b,b,X
x,b,o,o,x,b,b,b,b,X
x,b,o,o,x,b,b,b,x,X
b,b,b,b,b,b,b,b,x,O
b,b,b,b,o,b,b,b,x,O
b,b,b,x,o,b,b,b,x,O
b,b,b,x,o,b,b,o,x,O
x,b,b,x,o,b,b,o,x,O
x,o,b,x,o,b,b,o,x,O
b,b,b,b,b,b,b,x,b,O
b,b,b,b,o,b,b,x,b,O
b,b,x,b,o,b,b,x,b,O
b,b,x,b,o,b,o,x,b,O
b,x,x,b,o,b,o,x,b,O
b,x,x,o,o,b,o,x,b,O
b,x,x,o,o,b,o,x,x,O
b,x,x,o,o,o,o,x,x,O
b,b,b,b,x,b,b,b,b,X
b,b,b,b,x,b,b,b,o,X
b,b,b,b,x,x,b,b,o,X
b,b,b,b,x,x,b,o,o,X
b,x,b,b,x,x,b,o,o,X
o,x,b,b,x,x,b,o,o,X
o,x,b,b,x,x,x,o,o,X
o,x,b,o,x,x,x,o,o,X
o,x,x,o,x,x,x,o,o,X
b,b,b,b,b,b,b,x,b,O
b,o,b,b,b,b,b,x,b,O
b,o,b,b,b,b,b,x,x,O
b,o,b,o,b,b,b,x,x,O
b,o,x,o,b,b,b,x,x,O
b,o,x,o,b,o,b,x,x,O
x,o,x,o,b,o,b,x,x,O
x,o,x,o,o,o,b,x,x,O
b,b,b,b,b,b,b,b,x,O
b,b,b,b,b,b,o,b,x,O
x,b,b,b,b,b,o,b,x,O
x,b,b,b,o,b,o,b,x,O
x,b,b,b,o,x,o,b,x,O
x,b,b,b,o,x,o,o,x,O
x,b,b,x,o,x,o,o,x,O
x,o,b,x,o,x,o,o,x,O
b,b,b,b,x,b,b,b,b,O
b,b,o,b,x,b,b,b,b,O
b,b,o,b,x,b,x,b,b,O
b,b,o,b,x,b,x,b,o,O
b,b,o,b,x,b,x,x,o,O
b,b,o,b,x,o,x,x,o,O
b,x,b,b,b,b,b,b,b,X
b,x,b,b,b,o,b,b,b,X
b,x,b,x,b,o,b,b,b,X
o,x,b,x,b,o,b,b,b,X
o,x,b,x,b,o,b,b,x,X
o,x,b,x,b,o,o,b,x,X
o,x,b,x,x,o,o,b,x,X
o,x,o,x,x,o,o,b,x,X
o,x,o,x,x,o,o,x,x,X
b,b,b,b,b,x,b,b,b,X
b,b,b,o,b,x,b,b,b,X
x,b,b,o,b,x,b,b,b,X
x,b,o,o,b,x,b,b,b,X
x,b,o,o,b,x,b,b,x,X
x,b,o,o,o,x,b,b,x,X
x,b,o,o,o,x,x,b,x,X
x,o,o,o,o,x,x,b,x,X
x,o,o,o,o,x,x,x,x,X
b,b,x,b,b,b,b,b,b,D
b,b,x,b,o,b,b,b,b,D
b,b,x,x,o,b,b,b,b,D
o,b,x,x,o,b,b,b,b,D
o,b,x,x,o,b,b,x,b,D
o,b,x,x,o,o,b,x,b,D
o,b,x,x,o,o,b,x,x,D
o,b,x,x,o,o,o,x,x,D
o,x,x,x,o,o,o,x,x,D
b,b,x,b,b,b,b,b,b,X
b,b,x,b,o,b,b,b,b,X
b,b,x,b,o,b,b,b,x,X
b,b,x,b,o,b,b,o,x,X
b,b,x,x,o,b,b,o,x,X
b,b,x,x,o,b,o,o,x,X
b,x,x,x,o,b,o,o,x,X
b,x,x,x,o,o,o,o,x,X
x,x,x,x,o,o,o,o,x,X
x,b,b,b,b,b,b,b,b,X
x,b,b,b,o,b,b,b,b,X
x,x,b,b,o,b,b,b,b,X
x,x,b,b,o,o,b,b,b,X
x,x,b,b,o,o,b,b,x,X
x,x,b,b,o,o,b,o,x,X
x,x,b,b,o,o,x,o,x,X
x,x,o,b,o,o,x,o,x,X
x,x,o,x,o,o,x,o,x,X
b,b,b,x,b,b,b,b,b,X
o,b,b,x,b,b,b,b,b,X
o,b,b,x,b,b,b,b,x,X
o,b,b,x,o,b,b,b,x,X
o,b,b,x,o,b,b,x,x,X
o,b,o,x,o,b,b,x,x,X
o,b,o,x,o,b,x,x,x,X
b,b,b,b,b,x,b,b,b,D
b,b,o,b,b,x,b,b,b,D
x,b,o,b,b,x,b,b,b,D
x,b,o,b,b,x,b,b,o,D
x,b,o,b,b,x,x,b,o,D
x,b,o,b,b,x,x,o,o,D
x,x,o,b,b,x,x,o,o,D
x,x,o,o,b,x,x,o,o,D
x,x,o,o,x,x,x,o,o,D
b,x,b,b,b,b,b,b,b,X
b,x,b,b,b,b,b,o,b,X
b,x,x,b,b,b,b,o,b,X
b,x,x,b,o,b,b,o,b,X
x,x,x,b,o,b,b,o,b,X
b,b,b,b,b,x,b,b,b,D
b,b,b,o,b,x,b,b,b,D
b,b,x,o,b,x,b,b,b,D
b,b,x,o,o,x,b,b,b,D
b,b,x,o,o,x,b,x,b,D
b,b,x,o,o,x,b,x,o,D
x,b,x,o,o,x,b,x,o,D
x,o,x,o,o,x,b,x,o,D
x,o,x,o,o,x,x,x,o,D
x,b,b,b,b,b,b,b,b,X
x,o,b,b,b,b,b,b,b,X
x,o,b,b,b,b,x,b,b,X
x,o,o,b,b,b,x,b,b,X
x,o,o,x,b,b,x,b,b,X
b,b,b,b,b,b,b,b,x,X
b,o,b,b,b,b,b,b,x,X
b,o,b,b,x,b,b,b,x,X
b,o,o,b,x,b,b,b,x,X
b,o,o,x,x,b,b,b,x,X
b,o,o,x,x,b,o,b,x,X
b,o,o,x,x,x,o,b,x,X
b,b,b,b,b,x,b,b,b,X
b,b,b,b,b,x,b,o,b,X
x,b,b,b,b,x,b,o,b,X
x,b,o,b,b,x,b,o,b,X
x,b,o,x,b,x,b,o,b,X
x,o,o,x,b,x,b,o,b,X
x,o,o,x,b,x,x,o,b,X
b,b,b,b,x,b,b,b,b,X
b,b,b,b,x,b,o,b,b,X
b,b,b,b,x,b,o,b,x,X
b,b,b,o,x,b,o,b,x,X
x,b,b,o,x,b,o,b,x,X
b,b,x,b,b,b,b,b,b,X
b,b,x,b,b,o,b,b,b,X
b,b,x,b,b,o,b,b,x,X
b,b,x,o,b,o,b,b,x,X
b,b,x,o,b,o,b,x,x,X
o,b,x,o,b,o,b,x,x,X
o,b,x,o,b,o,x,x,x,X
b,b,b,b,x,b,b,b,b,X
b,b,b,b,x,b,b,b,o,X
b,b,b,b,x,b,b,x,o,X
b,b,o,b,x,b,b,x,o,X
x,b,o,b,x,b,b,x,o,X
x,b,o,o,x,b,b,x,o,X
x,x,o,o,x,b,b,x,o,X
b,b,b,b,b,b,b,x,b,X
b,o,b,b,b,b,b,x,b,X
b,o,b,b,b,x,b,x,b,X
o,o,b,b,b,x,b,x,b,X
o,o,b,x,b,x,b,x,b,X
o,o,b,x,b,x,o,x,b,X
o,o,b,x,x,x,o,x,b,X
b,x,b,b,b,b,b,b,b,X
b,x,b,o,b,b,b,b,b,X
b,x,b,o,b,b,b,b,x,X
b,x,b,o,b,b,b,o,x,X
b,x,b,o,x,b,b,o,x,X
b,x,b,o,x,o,b,o,x,X
b,x,b,o,x,o,x,o,x,X
o,x,b,o,x,o,x,o,x,X
o,x,x,o,x,o,x,o,x,X
b,b,x,b,b,b,b,b,b,D
b,o,x,b,b,b,b,b,b,D
x,o,x,b,b,b,b,b,b,D
x,o,x,b,b,o,b,b,b,D
x,o,x,b,b,o,b,b,x,D
x,o,x,b,o,o,b,b,x,D
x,o,x,x,o,o,b,b,x,D
x,o,x,x,o,o,o,b,x,D
x,o,x,x,o,o,o,x,x,D
b,b,b,x,b,b,b,b,b,O
b,b,o,x,b,b,b,b,b,O
b,x,o,x,b,b,b,b,b,O
b,x,o,x,b,b,b,o,b,O
b,x,o,x,b,b,x,o,b,O
b,x,o,x,b,o,x,o,b,O
b,x,o,x,x,o,x,o,b,O
b,x,o,x,x,o,x,o,o,O
b,b,b,b,b,b,x,b,b,O
b,b,b,b,b,b,x,o,b,O
b,b,b,b,b,x,x,o,b,O
b,o,b,b,b,x,x,o,b,O
b,o,b,b,b,x,x,o,x,O
b,o,o,b,b,x,x,o,x,O
b,o,o,x,b,x,x,o,x,O
b,o,o,x,o,x,x,o,x,O
b,b,b,b,b,b,b,b,x,X
b,b,b,o,b,b,b,b,x,X
b,b,b,o,b,x,b,b,x,X
b,b,b,o,o,x,b,b,x,X
b,b,b,o,o,x,x,b,x,X
b,o,b,o,o,x,x,b,x,X
b,o,b,o,o,x,x,x,x,X
b,x,b,b,b,b,b,b,b,X
b,x,o,b,b,b,b,b,b,X
x,x,o,b,b,b,b,b,b,X
x,x,o,b,o,b,b,b,b,X
x,x,o,b,o,b,x,b,b,X
x,x,o,b,o,b,x,o,b,X
x,x,o,b,o,b,x,o,x,X
x,x,o,b,o,o,x,o,x,X
x,x,o,x,o,o,x,o,x,X
b,x,b,b,b,b,b,b,b,X
b,x,b,b,b,b,b,o,b,X
b,x,b,x,b,b,b,o,b,X
b,x,b,x,b,b,b,o,o,X
b,x,b,x,b,b,x,o,o,X
b,x,b,x,o,b,x,o,o,X
b,x,b,x,o,x,x,o,o,X
b,x,o,x,o,x,x,o,o,X
x,x,o,x,o,x,x,o,o,X
b,b,b,b,b,x,b,b,b,X
b,b,b,b,b,x,b,o,b,X
b,b,b,b,b,x,b,o,x,X
b,b,b,b,b,x,o,o,x,X
b,b,x,b,b,x,o,o,x,X
b,b,b,x,b,b,b,b,b,O
b,b,b,x,o,b,b,b,b,O
b,b,b,x,o,b,x,b,b,O
o,b,b,x,o,b,x,b,b,O
o,b,x,x,o,b,x,b,b,O
o,o,x,x,o,b,x,b,b,O
o,o,x,x,o,x,x,b,b,O
o,o,x,x,o,x,x,o,b,O
b,b,b,b,b,b,b,x,b,O
b,b,o,b,b,b,b,x,b,O
b,b,o,x,b,b,b,x,b,O
b,b,o,x,b,o,b,x,b,O
b,x,o,x,b,o,b,x,b,O
b,x,o,x,b,o,b,x,o,O
b,b,b,x,b,b,b,b,b,X
b,b,b,x,b,b,b,o,b,X
b,b,b,x,b,x,b,o,b,X
b,b,b,x,b,x,b,o,o,X
x,b,b,x,b,x,b,o,o,X
x,b,o,x,b,x,b,o,o,X
x,b,o,x,b,x,x,o,o,X
b,x,b,b,b,b,b,b,b,X
b,x,b,b,b,b,b,b,o,X
b,x,x,b,b,b,b,b,o,X
o,x,x,b,b,b,b,b,o,X
o,x,x,b,b,b,x,b,o,X
o,x,x,b,b,b,x,o,o,X
o,x,x,b,b,x,x,o,o,X
o,x,x,o,b,x,x,o,o,X
o,x,x,o,x,x,x,o,o,X
b,b,x,b,b,b,b,b,b,X
b,b,x,b,b,o,b,b,b,X
b,b,x,b,b,o,x,b,b,X
b,b,x,b,b,o,x,o,b,X
b,b,x,b,x,o,x,o,b,X
b,b,b,b,b,b,b,b,x,D
b,o,b,b,b,b,b,b,x,D
b,o,b,b,b,b,b,x,x,D
b,o,b,b,b,o,b,x,x,D
b,o,b,b,x,o,b,x,x,D
o,o,b,b,x,o,b,x,x,D
o,o,x,b,x,o,b,x,x,D
o,o,x,b,x,o,o,x,x,D
o,o,x,x,x,o,o,x,x,D
b,b,b,b,x,b,b,b,b,X
o,b,b,b,x,b,b,b,b,X
o,b,b,b,x,b,b,x,b,X
o,b,b,b,x,o,b,x,b,X
o,b,b,b,x,o,x,x,b,X
o,b,o,b,x,o,x,x,b,X
o,b,o,b,x,o,x,x,x,X
b,b,b,b,b,b,b,b,x,O
b,b,o,b,b,b,b,b,x,O
b,b,o,b,b,b,x,b,x,O
o,b,o,b,b,b,x,b,x,O
o,b,o,b,b,x,x,b,x,O
o,b,o,b,b,x,x,o,x,O
o,b,o,x,b,x,x,o,x,O
o,o,o,x,b,x,x,o,x,O
b,b,x,b,b,b,b,b,b,O
b,b,x,b,b,b,b,o,b,O
b,b,x,b,b,x,b,o,b,O
b,b,x,b,o,x,b,o,b,O
x,b,x,b,o,x,b,o,b,O
x,b,x,b,o,x,b,o,o,O
x,b,x,x,o,x,b,o,o,O
x,b,x,x,o,x,o,o,o,O
b,x,b,b,b,b,b,b,b,X
o,x,b,b,b,b,b,b,b,X
o,x,b,b,x,b,b,b,b,X
o,x,b,b,x,o,b,b,b,X
o,x,x,b,x,o,b,b,b,X
o,x,x,b,x,o,b,o,b,X
o,x,x,x,x,o,b,o,b,X
o,x,x,x,x,o,b,o,o,X
o,x,x,x,x,o,x,o,o,X
b,b,b,b,b,b,b,x,b,D
b,b,b,o,b,b,b,x,b,D
b,b,b,o,x,b,b,x,b,D
b,b,b,o,x,b,o,x,b,D
b,b,b,o,x,x,o,x,b,D
b,o,b,o,x,x,o,x,b,D
b,o,x,o,x,x,o,x,b,D
b,o,x,o,x,x,o,x,o,D
x,o,x,o,x,x,o,x,o,D
b,b,b,b,b,b,x,b,b,X
b,b,b,b,b,b,x,o,b,X
b,b,b,b,b,b,x,o,x,X
b,o,b,b,b,b,x,o,x,X
b,o,b,b,b,x,x,o,x,X
o,o,b,b,b,x,x,o,x,X
o,o,x,b,b,x,x,o,x,X
b,b,b,b,x,b,b,b,b,X
b,b,b,b,x,o,b,b,b,X
b,b,b,x,x,o,b,b,b,X
b,b,b,x,x,o,b,o,b,X
x,b,b,x,x,o,b,o,b,X
x,b,b,x,x,o,b,o,o,X
x,b,b,x,x,o,x,o,o,X
b,b,b,b,b,b,x,b,b,X
b,b,b,b,b,b,x,o,b,X
b,b,b,x,b,b,x,o,b,X
b,b,o,x,b,b,x,o,b,X
x,b,o,x,b,b,x,o,b,X
b,b,b,x,b,b,b,b,b,D
b,o,b,x,b,b,b,b,b,D
x,o,b,x,b,b,b,b,b,D
x,o,b,x,b,b,o,b,b,D
x,o,b,x,x,b,o,b,b,D
x,o,b,x,x,b,o,b,o,D
x,o,x,x,x,b,o,b,o,D
x,o,x,x,x,o,o,b,o,D
x,o,x,x,x,o,o,x,o,D
b,b,b,b,b,b,x,b,b,O
b,o,b,b,b,b,x,b,b,O
b,o,x,b,b,b,x,b,b,O
b,o,x,o,b,b,x,b,b,O
b,o,x,o,b,b,x,x,b,O
b,o,x,o,o,b,x,x,b,O
x,o,x,o,o,b,x,x,b,O
x,o,x,o,o,o,x,x,b,O
b,x,b,b,b,b,b,b,b,D
o,x,b,b,b,b,b,b,b,D
o,x,b,b,b,b,b,x,b,D
o,x,b,b,b,b,o,x,b,D
o,x,b,x,b,b,o,x,b,D
o,x,b,x,o,b,o,x,b,D
o,x,x,x,o,b,o,x,b,D
o,x,x,x,o,o,o,x,b,D
o,x,x,x,o,o,o,x,x,D
